tablename=Currency ,tag = CURRENCY_3022 ,key = 
tablename=Currency ,tag = CURRENCY_3028 ,key = 
tablename=Currency ,tag = CURRENCY_3024 ,key = 
tablename=Currency ,tag = level ,key = 
tablename=Currency ,tag = vipLevel ,key = 
tablename=Currency ,tag = dojoBuildLevel ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
tablename=GuideFunctionView ,tag = loginMainView ,key = 
